"grid_x","grid_y","avg_vx","avg_vy","grid_id","final_grid","num_hops","status","result"
1,38,3.09875440597534,0.497373580932617,"1,38","39,47",14,"Success","39,47, 14, Success"
1,39,2.1027764081955,1.39130878448486,"1,39","39,47",18,"Success","39,47, 18, Success"
1,40,4.02162790298462,1.73105201721191,"1,40","39,47",17,"Success","39,47, 17, Success"
1,41,2.04495358467102,0.376044273376465,"1,41","39,47",18,"Success","39,47, 18, Success"
1,42,0.605981349945068,-0.157266616821289,"1,42","39,47",17,"Success","39,47, 17, Success"
2,36,1.91831994056702,0.111024856567383,"2,36","39,47",14,"Success","39,47, 14, Success"
2,37,2.27618141174316,1.11664619445801,"2,37","39,47",14,"Success","39,47, 14, Success"
2,38,1.3396937251091,0.351868867874146,"2,38","39,47",15,"Success","39,47, 15, Success"
2,39,2.64567243691647,0.544363715431907,"2,39","39,47",17,"Success","39,47, 17, Success"
2,40,2.81784778027921,0.169577933646537,"2,40","39,47",17,"Success","39,47, 17, Success"
2,41,2.33072761126927,0.484009197780064,"2,41","39,47",18,"Success","39,47, 18, Success"
2,42,3.28456425666809,-0.330935478210449,"2,42","39,47",16,"Success","39,47, 16, Success"
2,43,1.74456535066877,-0.411240441458566,"2,43","39,47",18,"Success","39,47, 18, Success"
2,44,0.0349740982055664,-0.10453987121582,"2,44","2,44",1,"Success","2,44, 1, Success"
2,45,0.421005725860596,-0.0264511108398438,"2,45","39,47",18,"Success","39,47, 18, Success"
3,33,1.12946176528931,0.227359771728516,"3,33",NA,2,"Failure","NA, 2, Failure"
3,34,2.95967578887939,3.83323860168457,"3,34","39,47",18,"Success","39,47, 18, Success"
3,36,3.72613668441772,0.768449783325195,"3,36","39,47",13,"Success","39,47, 13, Success"
3,37,2.42929039001465,0.548831939697266,"3,37","39,47",16,"Success","39,47, 16, Success"
3,38,3.13024828351777,0.484609011946053,"3,38","39,47",17,"Success","39,47, 17, Success"
3,39,2.72202370806438,0.33452887651397,"3,39","39,47",17,"Success","39,47, 17, Success"
3,40,2.65043657355838,0.3789947297838,"3,40","39,47",17,"Success","39,47, 17, Success"
3,41,2.90958653177534,0.0752461637769427,"3,41","39,47",16,"Success","39,47, 16, Success"
3,42,2.54613144397736,0.609529495239258,"3,42","39,47",17,"Success","39,47, 17, Success"
3,43,3.18317255973816,-0.437331199645996,"3,43","39,47",18,"Success","39,47, 18, Success"
3,44,3.64926058905465,1.46451268877302,"3,44","39,47",15,"Success","39,47, 15, Success"
3,45,2.56588912010193,-1.11244773864746,"3,45","39,47",17,"Success","39,47, 17, Success"
3,47,4.04249715805054,-1.06356811523438,"3,47","39,47",16,"Success","39,47, 16, Success"
4,36,1.79609789167132,0.5619261605399,"4,36","39,47",14,"Success","39,47, 14, Success"
4,37,2.46582779288292,0.68350225687027,"4,37","39,47",13,"Success","39,47, 13, Success"
4,38,2.74504772516397,0.810453231518085,"4,38","39,47",16,"Success","39,47, 16, Success"
4,39,1.78300686580379,0.153104409938905,"4,39","39,47",14,"Success","39,47, 14, Success"
4,40,2.473522283593,0.312875981233558,"4,40","39,47",16,"Success","39,47, 16, Success"
4,41,2.79108048620678,0.146762121291388,"4,41","39,47",17,"Success","39,47, 17, Success"
4,42,2.22701400869033,0.0967826562769273,"4,42","39,47",17,"Success","39,47, 17, Success"
4,43,2.14315759658813,0.167066497802734,"4,43","39,47",17,"Success","39,47, 17, Success"
4,44,3.47125069300334,0.495632383558485,"4,44","39,47",16,"Success","39,47, 16, Success"
4,45,0.66411474772862,-0.0464300428118025,"4,45","39,47",17,"Success","39,47, 17, Success"
4,46,3.23017954826355,-2.78254270553589,"4,46","39,47",18,"Success","39,47, 18, Success"
4,48,0.569331169128418,1.02792167663574,"4,48",NA,2,"Failure","NA, 2, Failure"
5,35,3.70016479492188,1.73685836791992,"5,35","39,47",13,"Success","39,47, 13, Success"
5,36,2.50261113222908,0.766706354477826,"5,36","39,47",13,"Success","39,47, 13, Success"
5,37,2.26888223255382,0.509400255539838,"5,37","39,47",13,"Success","39,47, 13, Success"
5,38,2.72332261502743,1.00801700353622,"5,38","39,47",18,"Success","39,47, 18, Success"
5,39,3.04869105898101,0.738789525525323,"5,39","39,47",14,"Success","39,47, 14, Success"
5,40,2.15344447800607,0.370807589906635,"5,40","39,47",16,"Success","39,47, 16, Success"
5,41,2.16539856365749,0.051112311226981,"5,41","39,47",16,"Success","39,47, 16, Success"
5,42,3.32289732956305,0.708178124776701,"5,42","39,47",17,"Success","39,47, 17, Success"
5,43,2.69480526724527,0.270076219425645,"5,43","39,47",16,"Success","39,47, 16, Success"
5,44,2.88740664720535,0.720807234446208,"5,44","39,47",16,"Success","39,47, 16, Success"
5,45,3.20701699786716,0.960063722398546,"5,45","39,47",16,"Success","39,47, 16, Success"
5,46,-0.289087772369385,-0.572811126708984,"5,46","39,47",18,"Success","39,47, 18, Success"
6,34,-0.295779705047607,0.961254119873047,"6,34","39,47",14,"Success","39,47, 14, Success"
6,35,2.75231353441874,0.801764011383057,"6,35","39,47",13,"Success","39,47, 13, Success"
6,36,2.87196232722356,1.0428182895367,"6,36","39,47",13,"Success","39,47, 13, Success"
6,37,2.39419372661694,0.44431243071685,"6,37","39,47",18,"Success","39,47, 18, Success"
6,38,2.18872804641724,0.729510116577148,"6,38","39,47",17,"Success","39,47, 17, Success"
6,39,2.56330827186848,0.493858205861059,"6,39","39,47",14,"Success","39,47, 14, Success"
6,40,2.47187022809629,0.249190507111726,"6,40","39,47",14,"Success","39,47, 14, Success"
6,41,2.49067740826993,0.0785860886444917,"6,41","39,47",16,"Success","39,47, 16, Success"
6,42,2.68844349760758,-0.224763543982255,"6,42","39,47",15,"Success","39,47, 15, Success"
6,43,2.83085831842924,0.678346633911133,"6,43","39,47",16,"Success","39,47, 16, Success"
6,44,1.61454830169678,-0.170291110447475,"6,44","39,47",17,"Success","39,47, 17, Success"
6,45,2.32140352249146,-0.0549861145019531,"6,45","39,47",16,"Success","39,47, 16, Success"
6,46,4.10878503322601,-0.08016037940979,"6,46","39,47",15,"Success","39,47, 15, Success"
6,47,5.86131572723389,3.13010787963867,"6,47","39,49",9,"Success","39,49, 9, Success"
7,21,0.225668907165527,0.191974639892578,"7,21","7,21",1,"Success","7,21, 1, Success"
7,23,3.24623942375183,4.41239643096924,"7,23","37,46",15,"Success","37,46, 15, Success"
7,25,0.318780422210693,-0.0992646217346191,"7,25","26,33",13,"Success","26,33, 13, Success"
7,33,4.12965059280396,1.3265552520752,"7,33","37,46",13,"Success","37,46, 13, Success"
7,34,1.59138689041138,1.10911445617676,"7,34","37,46",14,"Success","37,46, 14, Success"
7,35,1.37337784767151,0.563726615905762,"7,35","37,46",14,"Success","37,46, 14, Success"
7,36,1.52011225223541,0.490409755706787,"7,36","39,47",19,"Success","39,47, 19, Success"
7,37,3.09975351889928,0.827607949574788,"7,37","39,47",16,"Success","39,47, 16, Success"
7,38,2.52123403549194,0.705658626556396,"7,38","39,47",18,"Success","39,47, 18, Success"
7,39,2.99393849372864,0.605590375264486,"7,39","39,47",13,"Success","39,47, 13, Success"
7,40,2.48324688549699,0.49701217125202,"7,40","39,47",16,"Success","39,47, 16, Success"
7,41,2.68815307957785,0.497966698237828,"7,41","39,47",17,"Success","39,47, 17, Success"
7,42,2.38632227392758,-0.0776217965518727,"7,42","39,47",17,"Success","39,47, 17, Success"
7,43,2.27241216659546,0.158880310058594,"7,43","39,47",17,"Success","39,47, 17, Success"
7,44,2.14124361673991,0.127033533873381,"7,44","39,47",16,"Success","39,47, 16, Success"
7,45,2.54690297842026,0.162613296508789,"7,45","39,47",15,"Success","39,47, 15, Success"
7,46,2.6234926026443,-0.126402032786402,"7,46","39,47",15,"Success","39,47, 15, Success"
7,47,3.11766918500265,1.46434942881266,"7,47","39,47",14,"Success","39,47, 14, Success"
7,48,0.233152866363525,-0.33772087097168,"7,48","39,47",15,"Success","39,47, 15, Success"
7,52,1.40921783447266,1.44764709472656,"7,52","39,49",11,"Success","39,49, 11, Success"
7,53,0,0,"7,53","7,53",1,"Success","7,53, 1, Success"
8,22,0.341359853744507,0.0423452854156494,"8,22","26,36",15,"Success","26,36, 15, Success"
8,23,0.358923329247369,0.00420591566297743,"8,23","28,33",11,"Success","28,33, 11, Success"
8,24,1.70844316482544,1.74615812301636,"8,24","15,28",8,"Success","15,28, 8, Success"
8,25,0.464666843414307,0.0405693054199219,"8,25","26,33",12,"Success","26,33, 12, Success"
8,26,4.49227333068848,4.86995697021484,"8,26","37,46",13,"Success","37,46, 13, Success"
8,27,0.440744876861572,-0.224004745483398,"8,27",NA,2,"Failure","NA, 2, Failure"
8,31,-0.583591461181641,0.358669281005859,"8,31",NA,2,"Failure","NA, 2, Failure"
8,34,1.93926080067952,0.0829486846923828,"8,34","37,46",14,"Success","37,46, 14, Success"
8,35,2.33865044667171,0.889876439021184,"8,35","37,46",13,"Success","37,46, 13, Success"
8,36,1.01019595918201,0.944198108854748,"8,36","39,47",13,"Success","39,47, 13, Success"
8,37,1.8995044708252,0.688113149007161,"8,37","39,47",13,"Success","39,47, 13, Success"
8,38,2.79005154541561,0.794493334633963,"8,38","39,47",15,"Success","39,47, 15, Success"
8,39,2.72400467925602,0.407057073381212,"8,39","39,47",13,"Success","39,47, 13, Success"
8,40,2.27123773097992,0.388773202896118,"8,40","39,47",16,"Success","39,47, 16, Success"
8,41,2.46780398312737,0.10735309825224,"8,41","39,47",16,"Success","39,47, 16, Success"
8,42,2.65910901625951,0.0693238576253255,"8,42","39,47",16,"Success","39,47, 16, Success"
8,43,3.15631407957811,-0.27304011124831,"8,43","39,47",16,"Success","39,47, 16, Success"
8,44,2.1650105033602,0.0703352689743042,"8,44","39,47",16,"Success","39,47, 16, Success"
8,45,2.47201407189463,0.417276906032188,"8,45","39,47",14,"Success","39,47, 14, Success"
8,46,2.70630396902561,0.439220726490021,"8,46","39,47",14,"Success","39,47, 14, Success"
8,47,1.65875816345215,0.170070739019485,"8,47","39,47",16,"Success","39,47, 16, Success"
8,48,2.86008310317993,-0.478772799173991,"8,48","39,47",14,"Success","39,47, 14, Success"
8,49,2.85028266906738,0.337594441005162,"8,49","39,47",13,"Success","39,47, 13, Success"
